Entropy;SpeechRate;SpeechAcceleration;PauseInt;VoicedInt;GapingInt;UnvoicedStops;UnvoicedFricativesDecay;RelativeRespirationLoudness;RespirationPauseInt;RespirationSpeechRate;RespiratoryExcancheLatency
1,536;353;3,20;164;269;49,15;26,87;-0,574;-20,02;5,00;11,26;75
1,547;316;1,48;247;281;37,10;26,88;-0,059;-20,81;4,00;16,53;205
1,553;360;1,84;129;288;31,93;22,37;-0,153;-16,47;5,00;16,72;71
1,560;302;0,44;170;331;39,34;22,38;-0,786;-20,20;4,00;19,72;97
1,558;368;2,70;166;255;46,84;26,87;-0,366;-21,36;6,00;14,72;201
1,563;309;0,10;200;288;52,21;22,37;-0,484;-25,41;5,00;19,75;144
1,569;346;-3,18;177;267;57,01;17,88;-0,141;-19,24;4,50;21,03;124
1,561;298;0,70;177;330;47,25;17,88;-1,088;-22,73;6,00;12,65;33
1,564;245;0,83;220;373;48,15;35,88;0,677;-21,51;6,00;13,12;100
1,563;359;0,22;143;265;57,28;22,37;-0,165;-19,81;5,00;16,09;77
1,560;297;-0,04;178;318;52,53;22,38;0,420;-22,66;7,00;13,50;169
1,563;330;-3,25;197;275;44,18;31,37;0,781;-19,87;6,00;18,08;145
1,564;181;-5,38;460;357;41,14;40,37;-1,417;-23,68;4,00;14,44;522
1,552;274;1,32;193;328;50,61;13,37;0,046;-20,70;4,50;19,54;138
1,568;315;5,04;184;269;58,73;26,88;-0,385;-19,08;7,00;15,35;144
1,564;384;-1,67;132;241;56,71;22,37;-0,201;-8,86;6,00;15,75;117
1,554;254;8,43;264;380;36,36;26,88;0,023;-23,12;3,00;15,41;177
1,569;300;4,09;177;359;47,06;22,37;-0,117;-18,67;5,00;16,94;138
1,537;246;5,09;223;391;37,74;40,37;0,411;-15,56;3,00;19,51;156
1,561;262;2,80;252;361;38,92;26,88;0,389;-17,53;4,00;17,51;154
1,566;281;0,24;235;319;44,56;26,88;1,137;-27,31;4,00;14,04;130
